Indid	Sex	Ybirth	Fatid	Motid
30254	m	1843	5	6
30255	m	1844	5	6
30256	f	1846	5	6
30257	m	1848	5	6
32300	m	1854	5	6
32301	m	1856	5	6
32302	m	1856	5	6
32303	f	1860	5	6
32304	m	1864	5	6
49	m	1820	.	.
50	f	1823	.	.
883	f	1851	49	50
30302	m	1845	49	50
30303	m	1847	49	50
30304	m	1849	49	50
117	m	1828	.	.
118	f	1832	.	.
1104	m	1853	117	118
1106	m	1874	117	118
30372	m	1856	117	118
30373	f	1860	117	118
30374	f	1867	117	118
30375	m	1871	117	118
123	m	1810	.	.
124	f	1811	.	.
1132	f	1846	123	124
30381	f	1850	123	124
30382	m	1853	123	124
30383	m	1853	123	124
30384	f	1855	123	124
149	m	1830	.	.
150	f	1834	.	.
30426	m	1855	149	150
44778	f	1853	149	150
44779	f	1874	149	150
214	m	1829	.	.
215	f	1830	.	.
30562	f	1855	214	215
30563	f	1856	214	215
30564	f	1859	214	215
30565	f	1862	214	215
30566	m	1865	214	215
30567	f	1867	214	215
30568	f	1870	214	215
235	m	1822	.	.
236	f	1827	.	.
30610	f	1857	235	236
30611	m	1859	235	236
282	m	1820	.	.
283	f	1822	.	.
30685	f	1850	282	283
30686	f	1853	282	283
30687	m	1858	282	283
30688	f	1862	282	283
30689	f	1865	282	283
30690	f	1869	282	283
344	m	1824	.	.
345	f	1830	.	.
30794	f	1850	344	345
30795	m	1853	344	345
30796	m	1855	344	345
30797	m	1857	344	345
30798	m	1864	344	345
409	m	1831	.	.
410	f	1831	.	.
30866	f	1855	409	410
30867	f	1856	409	410
30868	f	1858	409	410
30869	m	1860	409	410
30870	m	1861	409	410
411	m	1810	.	.
412	f	1813	.	.
1031	f	1835	411	412
30871	m	1833	411	412
30872	m	1843	411	412
30873	m	1849	411	412
30874	m	1850	411	412
432	m	1824	.	.
433	f	1824	.	.
30908	f	1850	432	433
30909	m	1852	432	433
30910	m	1854	432	433
30911	f	1862	432	433
30912	f	1864	432	433
23	m	1840	12586	12587
434	m	1792	.	.
435	f	1800	.	.
528	m	1828	434	435
667	f	1840	434	435
12586	m	1815	.	.
12587	f	1818	.	.
30913	m	1832	434	435
30914	f	1839	434	435
30915	m	1841	434	435
30916	f	1846	434	435
31160	f	1862	23	667
436	m	1835	.	.
437	f	1837	.	.
30917	f	1860	436	437
30918	m	1863	436	437
30919	f	1865	436	437
44960	m	1868	436	437
44961	f	1870	436	437
44962	f	1872	436	437
454	m	1801	.	.
455	f	1821	.	.
1914	f	1842	454	455
30941	f	1834	454	455
480	m	1835	.	.
481	f	1841	.	.
30984	m	1867	480	481
30985	f	1869	480	481
30986	f	1871	480	481
30987	m	1875	480	481
30988	f	1878	480	481
8962	m	1949	.	.
8963	f	1947	.	.
8965	f	1973	8962	8963
9556	f	1952	.	.
9557	m	1952	.	.
42845	f	1975	9557	9556
910	f	1876	10052	10053
10052	m	1852	.	.
